date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2015%20Sep%202023%2023:14:12%20GMT	https://www.oliviatruong.design/robots.txt		(from )
00:11:27	9963/9963	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2023:14:12%20GMT	https://www.oliviatruong.design/	C:/My%20Web%20Sites/portfolio/www.oliviatruong.design/index.html	(from )
00:11:27	104168/104168	---M-Z	200	added ('OK')	text/css	etag:%220437e82b9ee4eb8ed9dc31564befeab8%22	https://uploads-ssl.webflow.com/59c5c3e797139c000117aa12/css/oliviatruong.webflow.7932ea12b.css	C:/My%20Web%20Sites/portfolio/uploads-ssl.webflow.com/59c5c3e797139c000117aa12/css/oliviatruong.webflow.7932ea12b.css	(from https://www.oliviatruong.design/)
00:11:28	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/portfolio/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.oliviatruong.design/)
00:11:28	536/536	---M--	200	added ('OK')	image/png	etag:%229dea5921ee5d955377c1b238988b9b96%22	https://uploads-ssl.webflow.com/59c5c3e797139c000117aa12/5a3002a33ccc6600011b145a_o_icon.png	C:/My%20Web%20Sites/portfolio/uploads-ssl.webflow.com/59c5c3e797139c000117aa12/5a3002a33ccc6600011b145a_o_icon.png	(from https://www.oliviatruong.design/)
00:11:28	3689/3689	---M--	200	added ('OK')	image/png	etag:%227959f6ec1b6e3883464455e7a9a20a3f%22	https://uploads-ssl.webflow.com/59c5c3e797139c000117aa12/5a3002a63ccc6600011b145c_o_icon%40x8.png	C:/My%20Web%20Sites/portfolio/uploads-ssl.webflow.com/59c5c3e797139c000117aa12/5a3002a63ccc6600011b145c_o_icon@x8.png	(from https://www.oliviatruong.design/)
00:11:29	10226/10226	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2023:14:14%20GMT	https://www.oliviatruong.design/about	C:/My%20Web%20Sites/portfolio/www.oliviatruong.design/about.html	(from https://www.oliviatruong.design/)
00:11:29	30192/30192	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2023:14:14%20GMT	https://www.oliviatruong.design/universe-dashboard	C:/My%20Web%20Sites/portfolio/www.oliviatruong.design/universe-dashboard.html	(from https://www.oliviatruong.design/)
00:11:29	14872/14872	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2023:14:15%20GMT	https://www.oliviatruong.design/routr	C:/My%20Web%20Sites/portfolio/www.oliviatruong.design/routr.html	(from https://www.oliviatruong.design/)
00:11:29	30235/30235	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2023:14:15%20GMT	https://www.oliviatruong.design/ticket-manager	C:/My%20Web%20Sites/portfolio/www.oliviatruong.design/ticket-manager.html	(from https://www.oliviatruong.design/)
00:11:29	20586/20586	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2023:14:15%20GMT	https://www.oliviatruong.design/side-projects	C:/My%20Web%20Sites/portfolio/www.oliviatruong.design/side-projects.html	(from https://www.oliviatruong.design/)
00:11:30	12224/12224	---M--	200	added ('OK')	image/png	etag:%220e84d5926187e7a3b785febd3a55bf1d%22	https://uploads-ssl.webflow.com/59c5c3e797139c000117aa12/618b41a91266ac23d546af71_glyph-logo_May2016.png	C:/My%20Web%20Sites/portfolio/uploads-ssl.webflow.com/59c5c3e797139c000117aa12/618b41a91266ac23d546af71_glyph-logo_May2016.png	(from https://www.oliviatruong.design/)
00:11:30	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=59c5c3e797139c000117aa12	C:/My%20Web%20Sites/portfolio/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8a002.js	(from https://www.oliviatruong.design/)
00:11:31	533706/533706	---M-Z	200	added ('OK')	text/javascript	etag:%22181706d30d85ec5850eda55343b59519%22	https://uploads-ssl.webflow.com/59c5c3e797139c000117aa12/js/webflow.3812659dd.js	C:/My%20Web%20Sites/portfolio/uploads-ssl.webflow.com/59c5c3e797139c000117aa12/js/webflow.3812659dd.js	(from https://www.oliviatruong.design/)
